Delay 2 Feedback,329
Delay 2 HighPass fc,330
Delay 2 LowPass fc,331
Delay 2 Stereo Spread,332
Delay 2 Stereo Width,333
Delay 2 Stereo Mode,334
FX Filter 2 Frequency,335
FX Filter 2 Q,336
FX Filter 2 Comb Freq,337
Stereo Pan 2 Amount,338
Stereo Pan 2 Rate Unsynced,339
Stereo Pan 2 Rate Synced,340
Flanger 2 MinDelay,341
Flanger 2 Depth,342
Flanger 2 Rate,343
Flanger 2 Sync Rate,344
Flanger 2 Feedback,345
Flanger 2 Feedback Polarity,346
Flanger 2 Stereo,347
Flanger 2 LowPass fc,348
Flanger 2 HighPass fc,349
Flanger 2 LFO Waveform,350
Bit Crusher 2 Bit Depth,351
Bit Crusher 2 Downsample,352
Compressor 2 Threshold,353
Compressor 2 Ratio,354
Compressor 2 Attack,355
Compressor 2 Release,356
Compressor 2 Auto Make up,357
Compressor 2 Output Gain,358
Compressor 2 OutGainReduction,359
FX 3 Bypass,360
FX 3 Dry/Wet,361
Reverb 3 Predelay,362
Reverb 3 Decay,363
Reverb 3 Damping,364
Reverb 3 LowPass Freq,365
Reverb 3 HighPass Freq,366
Reverb 3 Size,367
Reverb 3 Output MS Mix (Stereo),368
Param Eq 3 LowShelf fc,369
Param Eq 3 LowShelf Gain,370
Param Eq 3 LowShelf Q,371
Param Eq 3 Peak 1 fc,372
Param Eq 3 Peak 1 Gain,373
Param Eq 3 Peak 1 Q,374
Param Eq 3 Peak 2 fc,375
Param Eq 3 Peak 2 Gain,376
Param Eq 3 Peak 2 Q,377
Param Eq 3 Peak 3 fc,378
Param Eq 3 Peak 3 Gain,379
Param Eq 3 Peak 3 Q,380
Param Eq 3 HighShelf fc,381
Param Eq 3 HighShelf Gain,382
Param Eq 3 HighShelf Q,383
Param Eq 3 Scale,384
Distortion 3 Drive,385
Distortion 3 Output Gain,386
Wavefolder 3 Drive,387
Wavefolder 3 Output Gain,388
Overdrive 3 Drive,389
Overdrive 3 Tone,390
Overdrive 3 Level,391
Chorus 3 Fix Delay,392
Chorus 3 Depth,393
Chorus 3 Rate,394
Chorus 3 Feedback,395
Chorus 3 Stereo Mode,396
Chorus 3 LFO Shape,397
Phaser 3 Frequency,398
Phaser 3 N Poles,399
Phaser 3 Feedback,400
